id,tokens
19409905,16526
19411254,18547
19414000,14520
19415708,8929
19416718,19097
19420133,13725
19429547,19345
19443439,11667
19447118,21417
19454282,9710
19456858,15632
19457862,15355
19458048,11342
19459957,10761
19460460,9076
19462967,27814
19469483,21234
19473964,13182
19476337,36015
19477160,19813
19477418,12324
19479190,6956
19481561,16816
19483088,22191
19486884,31714
19487291,12302
19487664,13045
19490017,15371
19490111,12996
19490124,16344
19490125,16323
19496566,4233
19501264,13374
19505123,15770
19505526,13147
19507245,6577
19509290,19104
19509296,15472
19516075,20439
19517068,19576
19520191,12967
19523900,14151
19525232,18115
19527927,12861
19530713,11128
19540202,9752
19540314,19011
19545176,16537
19545534,16872
19549347,10145
19552402,15563
19552429,15911
19553681,13452
19556294,14012
19556970,24918
19557353,9927
19558329,14726
19562746,16840
19567870,16518
19569192,9414
19574301,12896
19581484,181950
19583219,9111
19585993,11343
19586914,18975
19586916,19449
19587102,20373
19589387,13226
19589779,20376
19591842,14339
19591881,20008
19611239,15737
19615330,49946
19621900,14424
19622354,8433
19626290,12391
19629658,14225
19630404,15212
19631003,16906
19633233,15982
19636684,16231
19640724,12934
19645454,18000
19647806,11564
19653299,9419
19656280,11453
19662397,12339
19663506,22251
19664587,14106
19666222,5404
19666462,15321
19672047,16947
19674859,59674
19678710,94167
19682569,9882
19684168,9647
19694615,19428
19697071,10034
19699497,65734
19699693,82430
19702327,12941
19705874,19634
19710020,59184
19713216,12550
19715310,17805
19722522,16491
19725811,18908
19727704,12011
19728106,7589
19728741,15661
19731276,151655
19733243,13746
19733370,17815
19736991,18013
19739187,9153
19744243,8907
19746907,30252
19746980,13144
19747093,13005
19754426,17919
19756587,14513
19757094,11744
19757138,10160
19762440,26877
19763307,18086
19764816,28300
19767646,10607
19770008,10819
19772853,18293
19778006,14103
19779856,9574
19782754,9216
19783746,19249
19786095,15135
19789290,28762
19800315,8420
19800993,10249
19801472,18628
19801541,15953
19802606,10204
19804409,20327
19805282,15308
19805547,19992
19807062,9916
19812041,94787
19818856,16462
19819898,13105
19820102,19396
19825391,13852
19830420,15127
19834705,15340
19836401,15989
19846551,15557
19847269,13565
19850615,13109
19854148,33031
19857201,21772
19859667,8293
19863063,19383
19864421,21230
19864423,18570
19879003,19456
19879385,9741
19879558,8332
19880425,17159
19880511,18088
19883118,36662
19883764,11204
19883924,13879
19884377,12236
19888575,11865
19889645,18397
19891608,22977
